formula,atom a,atom b,lowest distortion,e_form,e_hull,mu_b,gap pbe,a,alpha,beta
NiRhO3,Ni,Rh,cubic,-0.227,0.893,-0.142,0,3.864,90,90
ReBO3,Re,B,cubic,-0.225,1.855,0.452,0,3.39,90,90
TaOsO3,Ta,Os,cubic,-0.224,2.141,0.238,0,3.895,90,90
RhTeO3,Rh,Te,cubic,-0.224,0.867,0.448,0,4.072,90,90
WNiO3,W,Ni,cubic,-0.224,1.732,0.779,0,3.673,90,90
MoTeO3,Mo,Te,cubic,-0.22,1.51,0.875,0,4.152,90,90
TcBiO3,Tc,Bi,cubic,-0.214,1.297,0.987,0,4.266,90,90
IrReO3,Ir,Re,cubic,-0.213,1.308,0.398,0,3.885,90,90
IrSnO3,Ir,Sn,cubic,-0.206,1.286,0.607,0,4.013,90,90
OsPrO3,Os,Pr,cubic,-0.206,2.147,1.067,0,4.472,90,90
NbPtO3,Nb,Pt,cubic,-0.206,1.895,0.421,0,3.977,90,90
RuCoO3,Ru,Co,cubic,-0.204,1.056,0.945,0,3.662,90,90
TcZnO3,Tc,Zn,cubic,-0.202,1.478,0.778,0,3.799,90,90
BeIrO3,Be,Ir,cubic,-0.197,1.628,0.06,0,3.85,90,90
RhCoO3,Rh,Co,cubic,-0.195,0.957,1.061,0,3.682,90,90
RhCoO3,Rh,Co,cubic,-0.195,0.957,1.061,0,3.682,90,90
OsGaO3,Os,Ga,cubic,-0.195,1.378,0.975,0,3.808,90,90
Ru2O3,Ru,Ru,cubic,-0.194,0.946,0.569,0,3.867,90,90
BeRhO3,Be,Rh,cubic,-0.191,1.618,0.246,0,3.832,90,90
VAuO3,V,Au,cubic,-0.187,1.444,0.524,0,4.028,90,90
FePtO3,Fe,Pt,cubic,-0.185,0.988,0.918,0,3.923,90,90
IrTcO3,Ir,Tc,cubic,-0.182,1.157,0.39,0,3.874,90,90
MoRhO3,Mo,Rh,cubic,-0.181,1.549,0.53,0,3.894,90,90
WTcO3,W,Tc,cubic,-0.179,1.777,0.774,0,3.896,90,90
MoBiO3,Mo,Bi,cubic,-0.179,1.633,0.863,0,4.245,90,90
RuOsO3,Ru,Os,cubic,-0.168,0.94,0.575,0,3.877,90,90
PdCoO3,Pd,Co,cubic,-0.166,0.72,0.025,0,3.695,90,90
CrAgO3,Cr,Ag,cubic,-0.164,1.223,0.699,0,3.985,90,90
PtBO3,Pt,B,cubic,-0.159,1.5,0.086,0,3.42,90,90
RhInO3,Rh,In,cubic,-0.154,1.235,0.804,0,4.108,90,90
RhInO3,Rh,In,cubic,-0.154,1.235,0.804,0,4.108,90,90
TePtO3,Te,Pt,cubic,-0.152,0.864,0.001,0,4.031,90,90
RhBiO3,Rh,Bi,cubic,-0.143,1.096,0.491,0,4.195,90,90
RhBiO3,Rh,Bi,cubic,-0.143,1.096,0.491,0,4.195,90,90
SiPtO3,Si,Pt,cubic,-0.143,1.938,0.001,0,3.943,90,90
RuInO3,Ru,In,cubic,-0.142,1.35,1.001,0,4.098,90,90
PtOsO3,Pt,Os,cubic,-0.139,0.842,0.039,0,3.872,90,90
WZnO3,W,Zn,cubic,-0.138,1.833,0.488,0,3.777,90,90
PdRhO3,Pd,Rh,cubic,-0.137,0.745,0.375,0,3.876,90,90
PtAsO3,Pt,As,cubic,-0.136,0.941,0.322,0,3.807,90,90
OsGeO3,Os,Ge,cubic,-0.135,1.347,0.832,0,3.766,90,90
ReFeO3,Re,Fe,cubic,-0.135,1.497,1.795,0,3.809,90,90
AuIrO3,Au,Ir,cubic,-0.13,0.602,0.254,0,3.915,90,90
TaPdO3,Ta,Pd,cubic,-0.13,2.191,0.338,0,3.924,90,90
CoLiO3,Co,Li,cubic,-0.129,1.236,0.597,0,3.518,90,90
IrBO3,Ir,B,cubic,-0.128,1.663,-0.002,0,3.392,90,90
WReO3,W,Re,cubic,-0.123,1.833,0.792,0,3.925,90,90
CuNiO3,Cu,Ni,cubic,-0.121,0.698,0.558,0,3.663,90,90
TcRhO3,Tc,Rh,cubic,-0.119,1.212,0.727,0,3.905,90,90
TaIrO3,Ta,Ir,cubic,-0.109,2.242,0.339,0,3.914,90,90
ReTcO3,Re,Tc,cubic,-0.107,1.428,0.832,0,3.903,90,90
PtRuO3,Pt,Ru,cubic,-0.105,0.892,0.075,0,3.862,90,90
RuTeO3,Ru,Te,cubic,-0.102,1.084,0.691,0,4.117,90,90
OsSnO3,Os,Sn,cubic,-0.087,1.434,0.833,0,4.024,90,90
